customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7811-JIVPF,Male,1,No,Yes,8,Yes,No,No,No,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Mailed check,52.10436790869674,471.7,Yes
2528-HFYZX,Male,0,No,No,47,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),58.217314971100684,6034.85,Yes
3744-ZBHON,Male,1,Yes,Yes,66,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,109.67582137161236,3201.55,No
8388-FYNPZ,Male,1,No,No,35,No,No phone service,No,No,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,114.32879641387824,7624.2,Yes
6815-ABQFQ,Female,0,No,Yes,70,No,No,Fiber optic,No internet service,No,No internet service,No,No,No,One year,Yes,Mailed check,30.348236698845035,746.05,No
0661-WCQNQ,Female,1,No,Yes,43,Yes,Yes,No,No internet service,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.22032181877247,348.8,No
1661-CZBAU,Female,0,Yes,No,59,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,112.20361032236242,239.75,Yes
3536-IQCTX,Female,0,No,Yes,62,No,No,No,No internet service,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),47.975076088950566,6982.5,No
9513-DXHDA,Female,0,No,Yes,4,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),42.552349113233845,2018.1,No
9618-LFJRU,Male,1,Yes,Yes,39,No,No,DSL,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Mailed check,21.830098008286917,1077.05,No
5510-BOIUJ,Female,1,No,No,18,No,Yes,DSL,No internet service,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),45.94739144445023,168.6,No
1223-UNPKS,Male,1,No,Yes,46,No,Yes,Fiber optic,No,No,Yes,No internet service,No,No,One year,No,Credit card (automatic),87.94940593621182,1914.5,Yes
8065-YKXKD,Male,1,No,Yes,64,Yes,No phone service,No,No,Yes,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),61.06663435532595,6164.7,Yes
